,date,id,content,username,like_count,retweet_count
30,2023-01-03 23:57:07+00:00,1610425051408437249," If you have to self-proclaim you are an Alpha Male, you’re not an Alpha Male. You just wish you weren’t a beta boy.",GasolineThe,0,0
31,2023-01-03 21:55:06+00:00,1610394347027025922,"  do any politicians in the west give a thought to the welfare of their indigenous population, culture &amp; values, when they open the doors to massive numbers of illegal mainly male economic migrants inc' serious criminals &amp; Islamic terror op's(see 'refugee' Abaaoud)? Seems not ...",stevehmahoney,2,0
32,2023-01-03 21:38:18+00:00,1610390117935632384, A local man gained access to the school and attempted to film the occupants he was then assaulted by a number of male refugees claiming to be a security company. ,Breakingservice,70,6
33,2023-01-03 20:52:30+00:00,1610378594055847937,"French newspapers have reported the tragic death of a male refugee in Calais this morning, after he was struck by a train. The death is said by eye-witnesses to have been suicide.
",Care4Calais,30,17
34,2023-01-03 20:45:30+00:00,1610376829185167361,"   Migrants are not the same as refugees, and you don't have to displace people!",IlhanDfnsForce,0,0
35,2023-01-03 19:32:49+00:00,1610358538127245312, But sir are you aware that the majority who travel to our borders are refugees? Do we turn them away? We are a Christian nation.,MaleNugent,0,0
36,2023-01-03 18:52:28+00:00,1610348385101582338,Why Google sucks: Google polices refugees by prioritizing male-gaze,COMA387Group2,0,0
37,2023-01-03 18:01:20+00:00,1610335516842508290,"  

How do young Syrian male refugees respond to integration frameworks that perpetuate the categorical construction of dangerous and undesired refugee masculinities?  

Special Issue: Integration and 

 ",ERSjournal,11,4
38,2023-01-03 16:41:25+00:00,1610315405934923778,"  The fact is, they shouldn’t be getting anything, they’re not refugees, they are single male, economic migrants that have gone through multiple safe countries and paid thousands to get here, and in most cases I would put money on it got rid of their passport and ID.",simon4124,0,0
39,2023-01-03 15:17:36+00:00,1610294311857299458," what a crap. Most of them just want German money. 
90% male and highly aggressive.",AlbaReloaded,5,0
40,2023-01-03 14:46:24+00:00,1610286458795069440,"Our resenter Buoth Manyang interviewed Kakuma Refugee camp's brightest pupil of the year 2022.

• KCPE's leading male with 408 marks of 500 at 1 pm
• The leading female with 402 marks of 500 marks at 2 pm

You can listen to the podcasts on our website at  ",reffmkkradio,2,1
41,2023-01-03 14:25:23+00:00,1610281172801658886,"The Massacre of the Innocents is an incident in the nativity narrative of the Gospel of Matthew (2:16–18) in which Herod the Great, king of Judea, orders the execution of all male children who are two years old... and so Jesus had to scram and was indeed a refugee ",heimaeyita,1,0
42,2023-01-03 14:15:28+00:00,1610278677815721985,Hanz has a lot of free time as he doesn't need to worry about satisfying his wife. The 1 million military-age male 'refugees' see to that. ,CerberusSock,1,0
43,2023-01-03 13:51:22+00:00,1610272610301902850," Terrorism has compelled gov’ts to more closely assess risk. To suggest that anyone making a refugee claim, male or female, is not a risk is naive.",VoiceOf07623181,0,0
44,2023-01-03 13:41:34+00:00,1610270146643337217,"  Not one word describing the abusers of the young girls except ""males.""

Since it's impossible to ban Moslem Jihadi refugees because ...racism, perhaps we could just ban MALE refugees without the leftists exploding in rage.",Justsom99841785,0,0
45,2023-01-03 11:27:44+00:00,1610236462347190280,"He is the only male of his parents..
from the funeral of the child Adam Ayyad (15 years), who was killed at dawn in the Dheisheh refugee camp, by the bullets of the Israeli occupation forces.


          ",AlshababRadio,7,9
46,2023-01-03 10:17:57+00:00,1610218901769703425,"  That's strange because France seems to be able to share middle aged, male refugees from Peaceful countries with us...........",leewightman12,0,0
47,2023-01-03 10:14:44+00:00,1610218093606801413," Lol, 80,000+ illegal male economic migrants likely inc' serious criminals &amp; Islamic terror op's(see 'refugee' Abaaoud), landed by  in Dover in 2 yrs (others landed on Kent coast &amp; disappeared) inc' 10,000+ Albanians(largest grp in UK prisons). Beyond appalling negligence",stevehmahoney,2,0
48,2023-01-03 09:50:01+00:00,1610211874674450434,"  Nothing to do with Brexit is a fact we are being taken for a ride and the piss been taken out of us by single male economic  migrants, Again, no women and children, and this is common.These aren’t refugees in danger. Look at these guys they don’t exactly look traumatised to me. ",simon4124,1,0
49,2023-01-03 09:34:26+00:00,1610207952723447810,Look how well multiculturalism is going for Germany. I can't understand why people have an issue with all these young male refugees from Albania. Poor guys just want a shot at a better life. GTFO ,fatstarpaul,0,0
50,2023-01-03 05:57:35+00:00,1610153378998255617," Statistically speaking, 92,3% of the refugees has the same type: 18-45, male,islamist,  undocumented. Who stays and fight in their countries? Why the percentage of women and children is so low? We cannot stand more.",ggplusTG,3,0
